,CCG,Date,Pollutant,Indicator Value (R Âµg/m3)
0,Ealing,2004-12-31,Carbon monoxide,0.770049469902473
1,Ealing,2004-12-31,Nitric Oxide,
2,Ealing,2004-12-31,Nitrogen dioxide,57.882937645478684
3,Ealing,2004-12-31,Oxides of Nitrogen,
4,Ealing,2004-12-31,Ozone,33.992080422331036
5,Ealing,2004-12-31,PM10 Particulate matter,
6,Ealing,2004-12-31,PM10 particulate matter (Hourly measured),23.333576306877806
7,Ealing,2004-12-31,PM2.5 particulate matter (Hourly measured),15.391342273253397
8,Ealing,2004-12-31,Sulphur dioxide,10.043231944507777
9,Ealing,2005-12-31,Carbon monoxide,0.7621498097570265
10,Ealing,2005-12-31,Nitric Oxide,
11,Ealing,2005-12-31,Nitrogen dioxide,52.86297396999513
12,Ealing,2005-12-31,Oxides of Nitrogen,
13,Ealing,2005-12-31,Ozone,28.594453090607452
14,Ealing,2005-12-31,PM10 Particulate matter,
15,Ealing,2005-12-31,PM10 particulate matter (Hourly measured),25.916646944624887
16,Ealing,2005-12-31,PM2.5 particulate matter (Hourly measured),21.009842207540355
17,Ealing,2005-12-31,Sulphur dioxide,8.370424824312302
18,Ealing,2006-12-31,Carbon monoxide,0.7300953061587455
19,Ealing,2006-12-31,Nitric Oxide,
20,Ealing,2006-12-31,Nitrogen dioxide,55.03563466083658
21,Ealing,2006-12-31,Oxides of Nitrogen,
22,Ealing,2006-12-31,Ozone,32.52753876052575
23,Ealing,2006-12-31,PM10 Particulate matter,
24,Ealing,2006-12-31,PM10 particulate matter (Hourly measured),25.443424688491117
25,Ealing,2006-12-31,PM2.5 particulate matter (Hourly measured),18.450044804007803
26,Ealing,2006-12-31,Sulphur dioxide,6.206311289688668
27,Ealing,2007-12-31,Carbon monoxide,0.6519782013433968
28,Ealing,2007-12-31,Nitric Oxide,
29,Ealing,2007-12-31,Nitrogen dioxide,54.24769082229276
30,Ealing,2007-12-31,Oxides of Nitrogen,
31,Ealing,2007-12-31,Ozone,28.47389078318255
32,Ealing,2007-12-31,PM10 Particulate matter,
33,Ealing,2007-12-31,PM10 particulate matter (Hourly measured),24.401768909306927
34,Ealing,2007-12-31,PM2.5 particulate matter (Hourly measured),
35,Ealing,2007-12-31,Sulphur dioxide,6.530477737026352
36,Ealing,2008-12-31,Carbon monoxide,0.5025170231624833
37,Ealing,2008-12-31,Nitric Oxide,
38,Ealing,2008-12-31,Nitrogen dioxide,58.84837107652069
39,Ealing,2008-12-31,Oxides of Nitrogen,
40,Ealing,2008-12-31,Ozone,29.08530456902247
41,Ealing,2008-12-31,PM10 Particulate matter,
42,Ealing,2008-12-31,PM10 particulate matter (Hourly measured),22.14147480833379
43,Ealing,2008-12-31,PM2.5 particulate matter (Hourly measured),11.795320539967483
44,Ealing,2008-12-31,Sulphur dioxide,5.656651844069671
45,Ealing,2009-12-31,Carbon monoxide,0.6400324472780062
46,Ealing,2009-12-31,Nitric Oxide,
47,Ealing,2009-12-31,Nitrogen dioxide,56.8886387733401
48,Ealing,2009-12-31,Oxides of Nitrogen,
49,Ealing,2009-12-31,Ozone,25.856958735915402
50,Ealing,2009-12-31,PM10 Particulate matter,
51,Ealing,2009-12-31,PM10 particulate matter (Hourly measured),22.76906732666252
52,Ealing,2009-12-31,PM2.5 particulate matter (Hourly measured),11.207386516207691
53,Ealing,2009-12-31,Sulphur dioxide,10.177289388025422
54,Ealing,2010-12-31,Carbon monoxide,0.482649570106708
55,Ealing,2010-12-31,Nitric Oxide,
56,Ealing,2010-12-31,Nitrogen dioxide,57.182302664915824
57,Ealing,2010-12-31,Oxides of Nitrogen,
58,Ealing,2010-12-31,Ozone,26.273895148700547
59,Ealing,2010-12-31,PM10 Particulate matter,
60,Ealing,2010-12-31,PM10 particulate matter (Hourly measured),22.358329224931214
61,Ealing,2010-12-31,PM2.5 particulate matter (Hourly measured),11.375742418228214
62,Ealing,2010-12-31,Sulphur dioxide,8.950074745199544
63,Ealing,2011-12-31,Carbon monoxide,0.4207831683090332
64,Ealing,2011-12-31,Nitric Oxide,
65,Ealing,2011-12-31,Nitrogen dioxide,50.39484565398761
66,Ealing,2011-12-31,Oxides of Nitrogen,
67,Ealing,2011-12-31,Ozone,28.222554258240905
68,Ealing,2011-12-31,PM10 Particulate matter,
69,Ealing,2011-12-31,PM10 particulate matter (Hourly measured),23.629680687321052
70,Ealing,2011-12-31,PM2.5 particulate matter (Hourly measured),13.148969639523106
71,Ealing,2011-12-31,Sulphur dioxide,4.750594092342186
72,Ealing,2012-12-31,Carbon monoxide,
73,Ealing,2012-12-31,Nitric Oxide,
74,Ealing,2012-12-31,Nitrogen dioxide,55.933676193527425
75,Ealing,2012-12-31,Oxides of Nitrogen,
76,Ealing,2012-12-31,Ozone,34.67911716417463
77,Ealing,2012-12-31,PM10 Particulate matter,
78,Ealing,2012-12-31,PM10 particulate matter (Hourly measured),23.47171892978855
79,Ealing,2012-12-31,PM2.5 particulate matter (Hourly measured),9.808660086371969
80,Ealing,2012-12-31,Sulphur dioxide,1.2119531815217388
81,Ealing,2013-12-31,Carbon monoxide,
82,Ealing,2013-12-31,Nitric Oxide,
83,Ealing,2013-12-31,Nitrogen dioxide,51.82006763521714
84,Ealing,2013-12-31,Oxides of Nitrogen,
85,Ealing,2013-12-31,Ozone,35.00612546158585
86,Ealing,2013-12-31,PM10 Particulate matter,
87,Ealing,2013-12-31,PM10 particulate matter (Hourly measured),25.208131518313756
88,Ealing,2013-12-31,PM2.5 particulate matter (Hourly measured),9.885007293789224
89,Ealing,2013-12-31,Sulphur dioxide,
90,Ealing,2014-12-31,Carbon monoxide,
91,Ealing,2014-12-31,Nitric Oxide,
92,Ealing,2014-12-31,Nitrogen dioxide,48.731111831016875
93,Ealing,2014-12-31,Oxides of Nitrogen,
94,Ealing,2014-12-31,Ozone,36.15235679691407
95,Ealing,2014-12-31,PM10 Particulate matter,
96,Ealing,2014-12-31,PM10 particulate matter (Hourly measured),20.096599504327465
97,Ealing,2014-12-31,PM2.5 particulate matter (Hourly measured),11.0727294379344
98,Ealing,2014-12-31,Sulphur dioxide,
99,Ealing,2015-12-31,Carbon monoxide,
100,Ealing,2015-12-31,Nitric Oxide,
101,Ealing,2015-12-31,Nitrogen dioxide,57.43133182161743
102,Ealing,2015-12-31,Oxides of Nitrogen,
103,Ealing,2015-12-31,Ozone,36.43666549734984
104,Ealing,2015-12-31,PM10 Particulate matter,
105,Ealing,2015-12-31,PM10 particulate matter (Hourly measured),22.298301598920983
106,Ealing,2015-12-31,PM2.5 particulate matter (Hourly measured),11.516187591693607
107,Ealing,2015-12-31,Sulphur dioxide,
108,Ealing,2016-12-31,Carbon monoxide,
109,Ealing,2016-12-31,Nitric Oxide,
110,Ealing,2016-12-31,Nitrogen dioxide,56.98691878740693
111,Ealing,2016-12-31,Oxides of Nitrogen,
112,Ealing,2016-12-31,Ozone,25.474152967171722
113,Ealing,2016-12-31,PM10 Particulate matter,
114,Ealing,2016-12-31,PM10 particulate matter (Hourly measured),22.008692919730816
115,Ealing,2016-12-31,PM2.5 particulate matter (Hourly measured),12.924810606060607
116,Ealing,2016-12-31,Sulphur dioxide,
117,Ealing,2017-12-31,Carbon monoxide,
118,Ealing,2017-12-31,Nitric Oxide,
119,Ealing,2017-12-31,Nitrogen dioxide,54.559601376011564
120,Ealing,2017-12-31,Oxides of Nitrogen,
121,Ealing,2017-12-31,Ozone,
122,Ealing,2017-12-31,PM10 Particulate matter,
123,Ealing,2017-12-31,PM10 particulate matter (Hourly measured),25.726536726411894
124,Ealing,2017-12-31,PM2.5 particulate matter (Hourly measured),
125,Ealing,2017-12-31,Sulphur dioxide,
126,Ealing,2018-12-31,Carbon monoxide,
127,Ealing,2018-12-31,Nitric Oxide,
128,Ealing,2018-12-31,Nitrogen dioxide,50.027932519595026
129,Ealing,2018-12-31,Oxides of Nitrogen,
130,Ealing,2018-12-31,Ozone,
131,Ealing,2018-12-31,PM10 Particulate matter,
132,Ealing,2018-12-31,PM10 particulate matter (Hourly measured),24.810243239771193
133,Ealing,2018-12-31,PM2.5 particulate matter (Hourly measured),
134,Ealing,2018-12-31,Sulphur dioxide,
135,Ealing,2019-12-31,Carbon monoxide,
136,Ealing,2019-12-31,Nitric Oxide,
137,Ealing,2019-12-31,Nitrogen dioxide,46.56658076254765
138,Ealing,2019-12-31,Oxides of Nitrogen,
139,Ealing,2019-12-31,Ozone,
140,Ealing,2019-12-31,PM10 Particulate matter,
141,Ealing,2019-12-31,PM10 particulate matter (Hourly measured),22.534795186299238
142,Ealing,2019-12-31,PM2.5 particulate matter (Hourly measured),
143,Ealing,2019-12-31,Sulphur dioxide,
144,Ealing,2020-12-31,Carbon monoxide,
145,Ealing,2020-12-31,Nitric Oxide,
146,Ealing,2020-12-31,Nitrogen dioxide,33.29407531490893
147,Ealing,2020-12-31,Oxides of Nitrogen,
148,Ealing,2020-12-31,Ozone,
149,Ealing,2020-12-31,PM10 Particulate matter,
150,Ealing,2020-12-31,PM10 particulate matter (Hourly measured),20.715119767152874
151,Ealing,2020-12-31,PM2.5 particulate matter (Hourly measured),
152,Ealing,2020-12-31,Sulphur dioxide,
153,East Berkshire,2004-12-31,Carbon monoxide,
154,East Berkshire,2004-12-31,Nitric Oxide,
155,East Berkshire,2004-12-31,Nitrogen dioxide,32.56806589466603
156,East Berkshire,2004-12-31,Oxides of Nitrogen,
157,East Berkshire,2004-12-31,Ozone,
158,East Berkshire,2004-12-31,PM10 Particulate matter,
159,East Berkshire,2004-12-31,PM10 particulate matter (Hourly measured),23.849996292353744
160,East Berkshire,2004-12-31,PM2.5 particulate matter (Hourly measured),
161,East Berkshire,2004-12-31,Sulphur dioxide,
162,East Berkshire,2005-12-31,Carbon monoxide,
163,East Berkshire,2005-12-31,Nitric Oxide,
164,East Berkshire,2005-12-31,Nitrogen dioxide,37.418354508315105
165,East Berkshire,2005-12-31,Oxides of Nitrogen,
166,East Berkshire,2005-12-31,Ozone,
167,East Berkshire,2005-12-31,PM10 Particulate matter,
168,East Berkshire,2005-12-31,PM10 particulate matter (Hourly measured),27.401398039196902
169,East Berkshire,2005-12-31,PM2.5 particulate matter (Hourly measured),10.116928683719937
170,East Berkshire,2005-12-31,Sulphur dioxide,
171,East Berkshire,2006-12-31,Carbon monoxide,
172,East Berkshire,2006-12-31,Nitric Oxide,
173,East Berkshire,2006-12-31,Nitrogen dioxide,37.77894482729974
174,East Berkshire,2006-12-31,Oxides of Nitrogen,
175,East Berkshire,2006-12-31,Ozone,
176,East Berkshire,2006-12-31,PM10 Particulate matter,
177,East Berkshire,2006-12-31,PM10 particulate matter (Hourly measured),23.056505102243108
178,East Berkshire,2006-12-31,PM2.5 particulate matter (Hourly measured),8.211002494757558
179,East Berkshire,2006-12-31,Sulphur dioxide,
180,East Berkshire,2007-12-31,Carbon monoxide,
181,East Berkshire,2007-12-31,Nitric Oxide,
182,East Berkshire,2007-12-31,Nitrogen dioxide,38.38131620975304
183,East Berkshire,2007-12-31,Oxides of Nitrogen,
184,East Berkshire,2007-12-31,Ozone,
185,East Berkshire,2007-12-31,PM10 Particulate matter,
186,East Berkshire,2007-12-31,PM10 particulate matter (Hourly measured),39.66833846461614
187,East Berkshire,2007-12-31,PM2.5 particulate matter (Hourly measured),10.1113342936477
188,East Berkshire,2007-12-31,Sulphur dioxide,
189,East Berkshire,2008-12-31,Carbon monoxide,
190,East Berkshire,2008-12-31,Nitric Oxide,
191,East Berkshire,2008-12-31,Nitrogen dioxide,37.39360419145878
192,East Berkshire,2008-12-31,Oxides of Nitrogen,
193,East Berkshire,2008-12-31,Ozone,
194,East Berkshire,2008-12-31,PM10 Particulate matter,
195,East Berkshire,2008-12-31,PM10 particulate matter (Hourly measured),25.211123348414986
196,East Berkshire,2008-12-31,PM2.5 particulate matter (Hourly measured),8.040837159745239
197,East Berkshire,2008-12-31,Sulphur dioxide,
198,East Berkshire,2009-12-31,Carbon monoxide,
199,East Berkshire,2009-12-31,Nitric Oxide,
200,East Berkshire,2009-12-31,Nitrogen dioxide,34.64011599805646
201,East Berkshire,2009-12-31,Oxides of Nitrogen,
202,East Berkshire,2009-12-31,Ozone,
203,East Berkshire,2009-12-31,PM10 Particulate matter,
204,East Berkshire,2009-12-31,PM10 particulate matter (Hourly measured),27.864766646046945
205,East Berkshire,2009-12-31,PM2.5 particulate matter (Hourly measured),9.241056124336303
206,East Berkshire,2009-12-31,Sulphur dioxide,
207,East Berkshire,2010-12-31,Carbon monoxide,
208,East Berkshire,2010-12-31,Nitric Oxide,
209,East Berkshire,2010-12-31,Nitrogen dioxide,35.734207306080094
210,East Berkshire,2010-12-31,Oxides of Nitrogen,
211,East Berkshire,2010-12-31,Ozone,
212,East Berkshire,2010-12-31,PM10 Particulate matter,
213,East Berkshire,2010-12-31,PM10 particulate matter (Hourly measured),21.926850842498222
214,East Berkshire,2010-12-31,PM2.5 particulate matter (Hourly measured),7.212730283467131
215,East Berkshire,2010-12-31,Sulphur dioxide,
216,East Berkshire,2011-12-31,Carbon monoxide,
217,East Berkshire,2011-12-31,Nitric Oxide,
218,East Berkshire,2011-12-31,Nitrogen dioxide,36.02852741067302
219,East Berkshire,2011-12-31,Oxides of Nitrogen,
220,East Berkshire,2011-12-31,Ozone,
221,East Berkshire,2011-12-31,PM10 Particulate matter,
222,East Berkshire,2011-12-31,PM10 particulate matter (Hourly measured),30.240539557524375
223,East Berkshire,2011-12-31,PM2.5 particulate matter (Hourly measured),11.023208946257276
224,East Berkshire,2011-12-31,Sulphur dioxide,
225,East Berkshire,2012-12-31,Carbon monoxide,
226,East Berkshire,2012-12-31,Nitric Oxide,
227,East Berkshire,2012-12-31,Nitrogen dioxide,34.224927861323145
228,East Berkshire,2012-12-31,Oxides of Nitrogen,
229,East Berkshire,2012-12-31,Ozone,
230,East Berkshire,2012-12-31,PM10 Particulate matter,
231,East Berkshire,2012-12-31,PM10 particulate matter (Hourly measured),23.303635589080503
232,East Berkshire,2012-12-31,PM2.5 particulate matter (Hourly measured),9.032873535724471
233,East Berkshire,2012-12-31,Sulphur dioxide,
234,East Berkshire,2013-12-31,Carbon monoxide,
235,East Berkshire,2013-12-31,Nitric Oxide,
236,East Berkshire,2013-12-31,Nitrogen dioxide,33.90456884493743
237,East Berkshire,2013-12-31,Oxides of Nitrogen,
238,East Berkshire,2013-12-31,Ozone,
239,East Berkshire,2013-12-31,PM10 Particulate matter,
240,East Berkshire,2013-12-31,PM10 particulate matter (Hourly measured),22.190329520577137
241,East Berkshire,2013-12-31,PM2.5 particulate matter (Hourly measured),8.848093391828135
242,East Berkshire,2013-12-31,Sulphur dioxide,
243,East Berkshire,2014-12-31,Carbon monoxide,
244,East Berkshire,2014-12-31,Nitric Oxide,
245,East Berkshire,2014-12-31,Nitrogen dioxide,34.18785703272831
246,East Berkshire,2014-12-31,Oxides of Nitrogen,
247,East Berkshire,2014-12-31,Ozone,
248,East Berkshire,2014-12-31,PM10 Particulate matter,
249,East Berkshire,2014-12-31,PM10 particulate matter (Hourly measured),19.033874080234835
250,East Berkshire,2014-12-31,PM2.5 particulate matter (Hourly measured),7.685846437182931
251,East Berkshire,2014-12-31,Sulphur dioxide,
252,East Berkshire,2015-12-31,Carbon monoxide,
253,East Berkshire,2015-12-31,Nitric Oxide,
254,East Berkshire,2015-12-31,Nitrogen dioxide,31.191648440520858
255,East Berkshire,2015-12-31,Oxides of Nitrogen,
256,East Berkshire,2015-12-31,Ozone,
257,East Berkshire,2015-12-31,PM10 Particulate matter,
258,East Berkshire,2015-12-31,PM10 particulate matter (Hourly measured),16.24208172173037
259,East Berkshire,2015-12-31,PM2.5 particulate matter (Hourly measured),6.439087096655967
260,East Berkshire,2015-12-31,Sulphur dioxide,
261,East Berkshire,2016-12-31,Carbon monoxide,
262,East Berkshire,2016-12-31,Nitric Oxide,
263,East Berkshire,2016-12-31,Nitrogen dioxide,33.08942676359658
264,East Berkshire,2016-12-31,Oxides of Nitrogen,
265,East Berkshire,2016-12-31,Ozone,
266,East Berkshire,2016-12-31,PM10 Particulate matter,
267,East Berkshire,2016-12-31,PM10 particulate matter (Hourly measured),15.282021490711628
268,East Berkshire,2016-12-31,PM2.5 particulate matter (Hourly measured),5.721706686906419
269,East Berkshire,2016-12-31,Sulphur dioxide,
270,East Berkshire,2017-12-31,Carbon monoxide,
271,East Berkshire,2017-12-31,Nitric Oxide,
272,East Berkshire,2017-12-31,Nitrogen dioxide,33.94460608087713
273,East Berkshire,2017-12-31,Oxides of Nitrogen,
274,East Berkshire,2017-12-31,Ozone,
275,East Berkshire,2017-12-31,PM10 Particulate matter,
276,East Berkshire,2017-12-31,PM10 particulate matter (Hourly measured),17.412888908578026
277,East Berkshire,2017-12-31,PM2.5 particulate matter (Hourly measured),6.64724855289963
278,East Berkshire,2017-12-31,Sulphur dioxide,
279,East Berkshire,2018-12-31,Carbon monoxide,
280,East Berkshire,2018-12-31,Nitric Oxide,
281,East Berkshire,2018-12-31,Nitrogen dioxide,33.03361569192257
282,East Berkshire,2018-12-31,Oxides of Nitrogen,
283,East Berkshire,2018-12-31,Ozone,
284,East Berkshire,2018-12-31,PM10 Particulate matter,
285,East Berkshire,2018-12-31,PM10 particulate matter (Hourly measured),17.52200363008815
286,East Berkshire,2018-12-31,PM2.5 particulate matter (Hourly measured),6.40051623012495
287,East Berkshire,2018-12-31,Sulphur dioxide,
288,East Berkshire,2019-12-31,Carbon monoxide,
289,East Berkshire,2019-12-31,Nitric Oxide,
290,East Berkshire,2019-12-31,Nitrogen dioxide,32.06243767407192
291,East Berkshire,2019-12-31,Oxides of Nitrogen,
292,East Berkshire,2019-12-31,Ozone,
293,East Berkshire,2019-12-31,PM10 Particulate matter,
294,East Berkshire,2019-12-31,PM10 particulate matter (Hourly measured),17.737270440184556
295,East Berkshire,2019-12-31,PM2.5 particulate matter (Hourly measured),6.671495808328704
296,East Berkshire,2019-12-31,Sulphur dioxide,
297,East Berkshire,2020-12-31,Carbon monoxide,
298,East Berkshire,2020-12-31,Nitric Oxide,
299,East Berkshire,2020-12-31,Nitrogen dioxide,21.927106381086343
300,East Berkshire,2020-12-31,Oxides of Nitrogen,
301,East Berkshire,2020-12-31,Ozone,
302,East Berkshire,2020-12-31,PM10 Particulate matter,
303,East Berkshire,2020-12-31,PM10 particulate matter (Hourly measured),18.34778398288618
304,East Berkshire,2020-12-31,PM2.5 particulate matter (Hourly measured),7.578336794312527
305,East Berkshire,2020-12-31,Sulphur dioxide,
306,Hillingdon,2004-12-31,Carbon monoxide,
307,Hillingdon,2004-12-31,Nitric Oxide,
308,Hillingdon,2004-12-31,Nitrogen dioxide,44.52378546501192
309,Hillingdon,2004-12-31,Oxides of Nitrogen,
310,Hillingdon,2004-12-31,Ozone,
311,Hillingdon,2004-12-31,PM10 Particulate matter,
312,Hillingdon,2004-12-31,PM10 particulate matter (Hourly measured),26.43231135727588
313,Hillingdon,2004-12-31,PM2.5 particulate matter (Hourly measured),12.248355810642499
314,Hillingdon,2004-12-31,Sulphur dioxide,
315,Hillingdon,2005-12-31,Carbon monoxide,
316,Hillingdon,2005-12-31,Nitric Oxide,
317,Hillingdon,2005-12-31,Nitrogen dioxide,42.36138838109275
318,Hillingdon,2005-12-31,Oxides of Nitrogen,
319,Hillingdon,2005-12-31,Ozone,
